Frame 0: Cars=2, Status=3 points (Congested), Density=0.06, AvgSpeed=10.95, Score=3
Frame 113: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.39, Score=4
Frame 114: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.36, Score=4
Frame 115: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.35, Score=4
Frame 116: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.32, Score=4
Frame 117: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.30, Score=4
Frame 118: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.28, Score=4
Frame 119: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.23, Score=4
Frame 120: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.21, Score=4
Frame 121: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.21, Score=4
Frame 122: Cars=8, Status=4 points (Congested), Density=0.25, AvgSpeed=5.17, Score=4
Frame 123: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.15, Score=4
Frame 124: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.12, Score=4
Frame 125: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.08, Score=4
Frame 126: Cars=8, Status=4 points (Congested), Density=0.24, AvgSpeed=5.06, Score=4
Frame 127: Cars=8, Status=4 points (Congested), Density=0.23, AvgSpeed=5.05, Score=4
Frame 128: Cars=7, Status=4 points (Congested), Density=0.23, AvgSpeed=5.02, Score=4
Frame 129: Cars=7, Status=4 points (Congested), Density=0.22, AvgSpeed=4.86, Score=4
Frame 130: Cars=7, Status=4 points (Congested), Density=0.22, AvgSpeed=4.85, Score=4
Frame 131: Cars=7, Status=4 points (Congested), Density=0.21, AvgSpeed=4.81, Score=4
Frame 132: Cars=7, Status=4 points (Congested), Density=0.21, AvgSpeed=4.79, Score=4
Frame 133: Cars=7, Status=4 points (Congested), Density=0.20, AvgSpeed=4.77, Score=4
Frame 134: Cars=7, Status=4 points (Congested), Density=0.20, AvgSpeed=4.72, Score=4
Frame 135: Cars=7, Status=4 points (Congested), Density=0.19, AvgSpeed=4.70, Score=4
Frame 136: Cars=7, Status=4 points (Congested), Density=0.19, AvgSpeed=4.68, Score=4
Frame 137: Cars=7, Status=4 points (Congested), Density=0.18, AvgSpeed=4.64, Score=4
Frame 138: Cars=7, Status=4 points (Congested), Density=0.18, AvgSpeed=4.61, Score=4
Frame 139: Cars=7, Status=4 points (Congested), Density=0.17, AvgSpeed=4.77, Score=4
Frame 140: Cars=6, Status=4 points (Congested), Density=0.17, AvgSpeed=4.72, Score=4
Frame 141: Cars=6, Status=4 points (Congested), Density=0.17, AvgSpeed=4.72, Score=4
Frame 142: Cars=6, Status=4 points (Congested), Density=0.16, AvgSpeed=4.69, Score=4
Frame 143: Cars=6, Status=4 points (Congested), Density=0.15, AvgSpeed=4.66, Score=4
Frame 144: Cars=6, Status=4 points (Congested), Density=0.15, AvgSpeed=4.65, Score=4
Frame 145: Cars=6, Status=4 points (Congested), Density=0.15, AvgSpeed=4.64, Score=4
Frame 146: Cars=6, Status=4 points (Congested), Density=0.15, AvgSpeed=4.62, Score=4
Frame 147: Cars=6, Status=4 points (Congested), Density=0.14, AvgSpeed=4.60, Score=4
Frame 148: Cars=6, Status=4 points (Congested), Density=0.14, AvgSpeed=4.59, Score=4
Frame 149: Cars=6, Status=4 points (Congested), Density=0.14, AvgSpeed=4.55, Score=4
Frame 150: Cars=6, Status=4 points (Congested), Density=0.13, AvgSpeed=4.55, Score=4
Frame 151: Cars=6, Status=4 points (Congested), Density=0.13, AvgSpeed=4.55, Score=4
Frame 152: Cars=5, Status=3 points (Congested), Density=0.13, AvgSpeed=4.51, Score=3
Frame 153: Cars=5, Status=3 points (Congested), Density=0.13, AvgSpeed=4.52, Score=3
Frame 154: Cars=5, Status=3 points (Congested), Density=0.13, AvgSpeed=4.68, Score=3
Frame 155: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.64, Score=3
Frame 156: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.66, Score=3
Frame 157: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.69, Score=3
Frame 158: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.67, Score=3
Frame 159: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.74, Score=3
Frame 160: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.80, Score=3
Frame 161: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.77, Score=3
Frame 162: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.79, Score=3
Frame 163: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.82, Score=3
Frame 164: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.82, Score=3
Frame 165: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.84, Score=3
Frame 166: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.86, Score=3
Frame 167: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.86, Score=3
Frame 168: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.88, Score=3
Frame 169: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.93, Score=3
Frame 170: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.96, Score=3
Frame 171: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.97, Score=3
Frame 172: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=4.99, Score=3
Frame 173: Cars=5, Status=3 points (Congested), Density=0.12, AvgSpeed=5.01, Score=3
Frame 174: Cars=5, Status=3 points (Congested), Density=0.13, AvgSpeed=5.05, Score=3
Frame 175: Cars=5, Status=3 points (Congested), Density=0.13, AvgSpeed=5.09, Score=3
Frame 176: Cars=5, Status=3 points (Congested), Density=0.13, AvgSpeed=5.09, Score=3
Frame 177: Cars=5, Status=3 points (Congested), Density=0.13, AvgSpeed=5.13, Score=3
Frame 178: Cars=5, Status=3 points (Congested), Density=0.14, AvgSpeed=5.15, Score=3
Frame 179: Cars=5, Status=3 points (Congested), Density=0.14, AvgSpeed=5.16, Score=3
Frame 180: Cars=5, Status=3 points (Congested), Density=0.14, AvgSpeed=5.16, Score=3
Frame 181: Cars=5, Status=3 points (Congested), Density=0.14, AvgSpeed=5.16, Score=3
Frame 182: Cars=5, Status=3 points (Congested), Density=0.14, AvgSpeed=5.14, Score=3
Frame 183: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.17, Score=3
Frame 184: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.18, Score=3
Frame 185: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.18, Score=3
Frame 186: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.22, Score=3
Frame 187: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.24, Score=3
Frame 188: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.23, Score=3
Frame 189: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.08, Score=3
Frame 190: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.10, Score=3
Frame 191: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.08, Score=3
Frame 192: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.12, Score=3
Frame 193: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.15, Score=3
Frame 194: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.15, Score=3
Frame 195: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.19, Score=3
Frame 196: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.21, Score=3
Frame 197: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.22, Score=3
Frame 198: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.25, Score=3
Frame 199: Cars=5, Status=3 points (Congested), Density=0.16, AvgSpeed=5.27, Score=3
Frame 200: Cars=4, Status=3 points (Congested), Density=0.16, AvgSpeed=5.27, Score=3
Frame 201: Cars=4, Status=3 points (Congested), Density=0.16, AvgSpeed=5.28, Score=3
Frame 202: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=5.28, Score=3
Frame 203: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=5.25, Score=3
Frame 204: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=5.09, Score=3
Frame 205: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=5.09, Score=3
Frame 206: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=5.04, Score=3
Frame 207: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=5.00, Score=3
Frame 208: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.99, Score=3
Frame 209: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.91, Score=3
Frame 210: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.86, Score=3
Frame 211: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.88, Score=3
Frame 212: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.85, Score=3
Frame 213: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.86, Score=3
Frame 214: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.88, Score=3
Frame 215: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.85, Score=3
Frame 216: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.85, Score=3
Frame 217: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.88, Score=3
Frame 218: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.85, Score=3
Frame 219: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.82, Score=3
Frame 220: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.78, Score=3
Frame 221: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.74, Score=3
Frame 222: Cars=4, Status=3 points (Congested), Density=0.17, AvgSpeed=4.73, Score=3
Frame 223: Cars=4, Status=3 points (Congested), Density=0.16, AvgSpeed=4.73, Score=3
Frame 224: Cars=4, Status=3 points (Congested), Density=0.16, AvgSpeed=4.70, Score=3
Frame 225: Cars=4, Status=3 points (Congested), Density=0.16, AvgSpeed=4.68, Score=3
Frame 226: Cars=4, Status=3 points (Congested), Density=0.16, AvgSpeed=4.67, Score=3
Frame 227: Cars=4, Status=3 points (Congested), Density=0.16, AvgSpeed=4.64, Score=3
Frame 228: Cars=4, Status=3 points (Congested), Density=0.15, AvgSpeed=4.64, Score=3
Frame 229: Cars=4, Status=3 points (Congested), Density=0.15, AvgSpeed=4.62, Score=3
Frame 230: Cars=4, Status=3 points (Congested), Density=0.15, AvgSpeed=4.63, Score=3
Frame 231: Cars=4, Status=3 points (Congested), Density=0.15, AvgSpeed=4.65, Score=3
Frame 232: Cars=4, Status=3 points (Congested), Density=0.15, AvgSpeed=4.67, Score=3
Frame 233: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.65, Score=3
Frame 234: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.67, Score=3
Frame 235: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.67, Score=3
Frame 236: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.64, Score=3
Frame 237: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.67, Score=3
Frame 238: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.71, Score=3
Frame 239: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.74, Score=3
Frame 240: Cars=4, Status=3 points (Congested), Density=0.13, AvgSpeed=4.76, Score=3
Frame 241: Cars=4, Status=3 points (Congested), Density=0.13, AvgSpeed=4.78, Score=3
Frame 242: Cars=4, Status=3 points (Congested), Density=0.13, AvgSpeed=4.76, Score=3
Frame 243: Cars=4, Status=3 points (Congested), Density=0.13, AvgSpeed=4.77, Score=3
Frame 244: Cars=4, Status=3 points (Congested), Density=0.13, AvgSpeed=4.77, Score=3
Frame 245: Cars=4, Status=3 points (Congested), Density=0.13, AvgSpeed=4.74, Score=3
Frame 246: Cars=4, Status=3 points (Congested), Density=0.13, AvgSpeed=4.75, Score=3
Frame 247: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.75, Score=3
Frame 248: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.73, Score=3
Frame 249: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.76, Score=3
Frame 250: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.78, Score=3
Frame 251: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.78, Score=3
Frame 252: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.82, Score=3
Frame 253: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.86, Score=3
Frame 254: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.88, Score=3
Frame 255: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.92, Score=3
Frame 256: Cars=4, Status=3 points (Congested), Density=0.14, AvgSpeed=4.96, Score=3
Frame 257: Cars=5, Status=3 points (Congested), Density=0.14, AvgSpeed=4.98, Score=3
Frame 258: Cars=5, Status=3 points (Congested), Density=0.14, AvgSpeed=5.02, Score=3
Frame 259: Cars=5, Status=3 points (Congested), Density=0.14, AvgSpeed=5.05, Score=3
Frame 260: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.06, Score=3
Frame 261: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.09, Score=3
Frame 262: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.12, Score=3
Frame 263: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.11, Score=3
Frame 264: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.12, Score=3
Frame 265: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.15, Score=3
Frame 266: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.16, Score=3
Frame 267: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.18, Score=3
Frame 268: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.21, Score=3
Frame 269: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.23, Score=3
Frame 270: Cars=5, Status=3 points (Congested), Density=0.15, AvgSpeed=5.26, Score=3
Frame 271: Cars=6, Status=3 points (Congested), Density=0.15, AvgSpeed=5.29, Score=3
Frame 272: Cars=6, Status=3 points (Congested), Density=0.16, AvgSpeed=5.30, Score=3
Frame 273: Cars=6, Status=3 points (Congested), Density=0.16, AvgSpeed=5.32, Score=3
Frame 274: Cars=6, Status=3 points (Congested), Density=0.16, AvgSpeed=5.35, Score=3
Frame 275: Cars=6, Status=3 points (Congested), Density=0.16, AvgSpeed=5.37, Score=3
Frame 276: Cars=6, Status=3 points (Congested), Density=0.16, AvgSpeed=5.43, Score=3
Frame 277: Cars=6, Status=3 points (Congested), Density=0.17, AvgSpeed=5.45, Score=3
Frame 278: Cars=6, Status=3 points (Congested), Density=0.17, AvgSpeed=5.46, Score=3
Frame 279: Cars=6, Status=3 points (Congested), Density=0.17, AvgSpeed=5.51, Score=3
Frame 280: Cars=6, Status=4 points (Congested), Density=0.17, AvgSpeed=5.53, Score=4
Frame 281: Cars=7, Status=4 points (Congested), Density=0.18, AvgSpeed=5.58, Score=4
Frame 282: Cars=7, Status=4 points (Congested), Density=0.18, AvgSpeed=5.63, Score=4
Frame 283: Cars=7, Status=4 points (Congested), Density=0.19, AvgSpeed=5.68, Score=4
Frame 284: Cars=7, Status=4 points (Congested), Density=0.19, AvgSpeed=5.68, Score=4
Frame 285: Cars=7, Status=4 points (Congested), Density=0.19, AvgSpeed=5.73, Score=4
Frame 286: Cars=7, Status=4 points (Congested), Density=0.19, AvgSpeed=5.76, Score=4
Frame 287: Cars=7, Status=4 points (Congested), Density=0.20, AvgSpeed=5.74, Score=4
Frame 288: Cars=7, Status=4 points (Congested), Density=0.20, AvgSpeed=5.74, Score=4
Frame 289: Cars=7, Status=4 points (Congested), Density=0.21, AvgSpeed=5.72, Score=4
Frame 290: Cars=7, Status=4 points (Congested), Density=0.21, AvgSpeed=5.71, Score=4
Frame 291: Cars=7, Status=4 points (Congested), Density=0.21, AvgSpeed=5.73, Score=4
Frame 292: Cars=8, Status=4 points (Congested), Density=0.22, AvgSpeed=5.76, Score=4
Frame 293: Cars=8, Status=4 points (Congested), Density=0.22, AvgSpeed=5.74, Score=4
Frame 294: Cars=8, Status=4 points (Congested), Density=0.22, AvgSpeed=5.75, Score=4
Frame 295: Cars=8, Status=4 points (Congested), Density=0.22, AvgSpeed=5.76, Score=4
