Frame 0: Cars=11, Status=5 points (Congested), Density=0.06, AvgSpeed=1.78, Score=5
Frame 120: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.82, Score=6
Frame 121: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.83, Score=6
Frame 122: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.84, Score=6
Frame 123: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.84, Score=6
Frame 124: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.84, Score=6
Frame 125: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.86, Score=6
Frame 126: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.86, Score=6
Frame 127: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.87, Score=6
Frame 128: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.88, Score=6
Frame 129: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.89, Score=6
Frame 130: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.90, Score=6
Frame 131: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.90, Score=6
Frame 132: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.90, Score=6
Frame 133: Cars=12, Status=6 points (Heavy Traffic), Density=0.13, AvgSpeed=0.90, Score=6
Frame 134: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.92, Score=6
Frame 135: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.92, Score=6
Frame 136: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.92, Score=6
Frame 137: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.92, Score=6
Frame 138: Cars=12, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.92, Score=6
Frame 139: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.92, Score=6
Frame 140: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.90, Score=6
Frame 141: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.90, Score=6
Frame 142: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.89, Score=6
Frame 143: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.88, Score=6
Frame 144: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.88, Score=6
Frame 145: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.87, Score=6
Frame 146: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.87, Score=6
Frame 147: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.87, Score=6
Frame 148: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.86, Score=6
Frame 149: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.85, Score=6
Frame 150: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.85, Score=6
Frame 151: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.85, Score=6
Frame 152: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.86, Score=6
Frame 153: Cars=13, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.85, Score=6
Frame 154: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.84, Score=6
Frame 155: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.83, Score=6
Frame 156: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.83, Score=6
Frame 157: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.83, Score=6
Frame 158: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.80, Score=6
Frame 159: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.80, Score=6
Frame 160: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.78, Score=6
Frame 161: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.78, Score=6
Frame 162: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.77, Score=6
Frame 163: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.77, Score=6
Frame 164: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.76, Score=6
Frame 165: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.75, Score=6
Frame 166: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.74, Score=6
Frame 167: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.73, Score=6
Frame 168: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.73, Score=6
Frame 169: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.72, Score=6
Frame 170: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.72, Score=6
Frame 171: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.71, Score=6
Frame 172: Cars=14, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.71, Score=6
Frame 173: Cars=15, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.70, Score=6
Frame 174: Cars=15, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.69, Score=6
Frame 175: Cars=15, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.69, Score=6
Frame 176: Cars=15, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.69, Score=6
Frame 177: Cars=15, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.68, Score=6
Frame 178: Cars=15, Status=6 points (Heavy Traffic), Density=0.14, AvgSpeed=0.67, Score=6
Frame 179: Cars=15, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.66, Score=7
Frame 180: Cars=15, Status=7 points (Heavy Traffic), Density=0.14, AvgSpeed=0.65, Score=7
Frame 181: Cars=15, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.64, Score=7
Frame 182: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.64, Score=7
Frame 183: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.62, Score=7
Frame 184: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 185: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 186: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 187: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 188: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 189: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 190: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 191: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 192: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 193: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 194: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 195: Cars=16, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 196: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 197: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 198: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 199: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 200: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 201: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 202: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.57, Score=7
Frame 203: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 204: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 205: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 206: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 207: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 208: Cars=17, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 209: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 210: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 211: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 212: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 213: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 214: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 215: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 216: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 217: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 218: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 219: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 220: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 221: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 222: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 223: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 224: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 225: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 226: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 227: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 228: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 229: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 230: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 231: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 232: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 233: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 234: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 235: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 236: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 237: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 238: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 239: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 240: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 241: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 242: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 243: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 244: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 245: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 246: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 247: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 248: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 249: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 250: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 251: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 252: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.61, Score=7
Frame 253: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 254: Cars=19, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 255: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 256: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 257: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 258: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 259: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 260: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 261: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 262: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 263: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 264: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.58, Score=7
Frame 265: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.59, Score=7
Frame 266: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 267: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 268: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
Frame 269: Cars=18, Status=7 points (Heavy Traffic), Density=0.15, AvgSpeed=0.60, Score=7
