Frame 0: Cars=17, Status=7 points (Heavy Traffic), Density=0.13, AvgSpeed=0.60, Score=7
Frame 80: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 81: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 82: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.97, Score=6
Frame 83: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.97, Score=6
Frame 84: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.97, Score=6
Frame 85: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 86: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 87: Cars=12, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 88: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 89: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 90: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 91: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 92: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.96, Score=6
Frame 93: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.95, Score=6
Frame 94: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.95, Score=6
Frame 95: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.95, Score=6
Frame 96: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.99, Score=6
Frame 97: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.99, Score=6
Frame 98: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.99, Score=6
Frame 99: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.99, Score=6
Frame 100: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.99, Score=6
Frame 101: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.99, Score=6
Frame 102: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.99, Score=6
Frame 103: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.98, Score=6
Frame 104: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.98, Score=6
Frame 105: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.96, Score=6
Frame 106: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.96, Score=6
Frame 107: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.95, Score=6
Frame 108: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.95, Score=6
Frame 109: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.94, Score=6
Frame 110: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.94, Score=6
Frame 111: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.94, Score=6
Frame 112: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.93, Score=6
Frame 113: Cars=13, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.93, Score=6
Frame 114: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.94, Score=6
Frame 115: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.92, Score=6
Frame 116: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.92, Score=6
Frame 117: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.92, Score=6
Frame 118: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.92, Score=6
Frame 119: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.92, Score=6
Frame 120: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.93, Score=6
Frame 121: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.92, Score=6
Frame 122: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.92, Score=6
Frame 123: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.92, Score=6
Frame 124: Cars=14, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.92, Score=6
Frame 125: Cars=14, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.92, Score=6
Frame 126: Cars=14, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.91, Score=6
Frame 127: Cars=14, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.91, Score=6
Frame 128: Cars=14, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.90, Score=6
Frame 129: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.90, Score=6
Frame 130: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.91, Score=6
Frame 131: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.91, Score=6
Frame 132: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.90, Score=6
Frame 133: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.89, Score=6
Frame 134: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.88, Score=6
Frame 135: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.89, Score=6
Frame 136: Cars=13, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.88, Score=6
Frame 137: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.87, Score=6
Frame 138: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.87, Score=6
Frame 139: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.86, Score=6
Frame 140: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.86, Score=6
Frame 141: Cars=13, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.87, Score=6
Frame 142: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.87, Score=6
Frame 143: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.86, Score=6
Frame 144: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.87, Score=6
Frame 145: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.87, Score=6
Frame 146: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.83, Score=6
Frame 147: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.83, Score=6
Frame 148: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.82, Score=6
Frame 149: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.82, Score=6
Frame 150: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.82, Score=6
Frame 151: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.81, Score=6
Frame 152: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.81, Score=6
Frame 153: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.82, Score=6
Frame 154: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.82, Score=6
Frame 155: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.82, Score=6
Frame 156: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 157: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 158: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 159: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 160: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 161: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 162: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 163: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 164: Cars=14, Status=6 points (Heavy Traffic), Density=0.20, AvgSpeed=0.83, Score=6
Frame 165: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.84, Score=6
Frame 166: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.84, Score=6
Frame 167: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.85, Score=6
Frame 168: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.85, Score=6
Frame 169: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.85, Score=6
Frame 170: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.85, Score=6
Frame 171: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.85, Score=6
Frame 172: Cars=14, Status=6 points (Heavy Traffic), Density=0.21, AvgSpeed=0.85, Score=6
Frame 173: Cars=14, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.86, Score=6
Frame 174: Cars=14, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.86, Score=6
Frame 175: Cars=15, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.87, Score=6
Frame 176: Cars=15, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.87, Score=6
Frame 177: Cars=15, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.87, Score=6
Frame 178: Cars=15, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.86, Score=6
Frame 179: Cars=15, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.86, Score=6
Frame 180: Cars=15, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.86, Score=6
Frame 181: Cars=15, Status=6 points (Heavy Traffic), Density=0.22, AvgSpeed=0.86, Score=6
Frame 182: Cars=15, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.85, Score=6
Frame 183: Cars=15, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.86, Score=6
Frame 184: Cars=15, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.86, Score=6
Frame 185: Cars=15, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.87, Score=6
Frame 186: Cars=15, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.88, Score=6
Frame 187: Cars=15, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.88, Score=6
Frame 188: Cars=15, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.89, Score=6
Frame 189: Cars=15, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.89, Score=6
Frame 190: Cars=15, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.88, Score=6
Frame 191: Cars=14, Status=6 points (Heavy Traffic), Density=0.23, AvgSpeed=0.88, Score=6
Frame 192: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.88, Score=6
Frame 193: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.87, Score=6
Frame 194: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.88, Score=6
Frame 195: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.88, Score=6
Frame 196: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.88, Score=6
Frame 197: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.88, Score=6
Frame 198: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 199: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 200: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 201: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 202: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 203: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 204: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 205: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 206: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 207: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 208: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 209: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 210: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 211: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 212: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 213: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 214: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 215: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.91, Score=6
Frame 216: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.92, Score=6
Frame 217: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.91, Score=6
Frame 218: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.90, Score=6
Frame 219: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.91, Score=6
Frame 220: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.91, Score=6
Frame 221: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.91, Score=6
Frame 222: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.92, Score=6
Frame 223: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.90, Score=6
Frame 224: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.90, Score=6
Frame 225: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.90, Score=6
Frame 226: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.89, Score=6
Frame 227: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.89, Score=6
Frame 228: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.90, Score=6
Frame 229: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.89, Score=6
Frame 230: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.89, Score=6
Frame 231: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 232: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 233: Cars=13, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.90, Score=6
Frame 234: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 235: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 236: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.88, Score=6
Frame 237: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 238: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.88, Score=6
Frame 239: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.88, Score=6
Frame 240: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.89, Score=6
Frame 241: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.90, Score=6
Frame 242: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.91, Score=6
Frame 243: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.92, Score=6
Frame 244: Cars=13, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.91, Score=6
Frame 245: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.91, Score=6
Frame 246: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.91, Score=6
Frame 247: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.91, Score=6
Frame 248: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.91, Score=6
Frame 249: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.92, Score=6
Frame 250: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.93, Score=6
Frame 251: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.92, Score=6
Frame 252: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.94, Score=6
Frame 253: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.93, Score=6
Frame 254: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.94, Score=6
Frame 255: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.95, Score=6
Frame 256: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.95, Score=6
Frame 257: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.96, Score=6
Frame 258: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.97, Score=6
Frame 259: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.97, Score=6
Frame 260: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.97, Score=6
Frame 261: Cars=14, Status=6 points (Heavy Traffic), Density=0.25, AvgSpeed=0.98, Score=6
Frame 262: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.98, Score=6
Frame 263: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.97, Score=6
Frame 264: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.98, Score=6
Frame 265: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.97, Score=6
Frame 266: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.97, Score=6
Frame 267: Cars=14, Status=6 points (Heavy Traffic), Density=0.24, AvgSpeed=0.98, Score=6
